1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1.4369,1.4535,1.2095,1.0458,0.75558,1.2328,0.71571,1.344,0.6253,1.5891,2.2874,0.70315,1.6638,1.1379,2.5612,3.0905,1.2093,0.72014,0.60322,NA,1.4,1.6631,1.3845,1.3037,0.97813,1.4767,1.487,1.0942,0.84616,0.58331
1.2445,1.4332,2.4148,1.4354,1.2503,2.1463,1.0345,1.5053,1.5587,1.0555,1.8825,1.3461,2.3795,1.6565,1.8414,1.3679,1.76,1.3386,1.7183,2.1056,1.5934,1.8964,1.2829,1.249,1.2086,1.2021,1.25,1.8947,2.1641,2.0068
1.8035,0.81022,1.5881,1.6432,2.3801,1.1558,1.3318,1.3988,1.5509,1.0765,1.4467,0.72879,1.2892,1.7795,2.3995,1.2591,1.0414,0.98763,1.5596,2.0405,1.2956,0.66117,1.0268,1.1174,2.0633,1.6449,1.9762,0.92671,1.4817,2.2587
0.96174,4.3899,2.4913,1.9143,2.5763,1.3531,2.3025,2.4381,2.1881,3.8955,1.3008,1.1853,2.3229,1.5421,0.78244,0.5755,1.1372,1.0162,0.68542,0.72458,1.9158,1.0952,0.80197,0.64534,0.85323,0.86821,2.7322,1.7466,2.6668,1.1637
1.1359,1.5923,2.0519,1.2993,1.5897,NA,1.2312,1.713,1.2594,0.70925,2.216,1.2453,1.4982,1.2909,1.4284,2.2225,1.0804,1.4899,0.74135,1.5461,1.351,0.64903,1.3121,1.0951,0.91095,1.1857,1.5892,1.314,1.401,1.6404
2.1452,2.2432,3.704,1.6264,1.3182,1.3993,2.4644,1.4483,2.2513,2.2524,1.2772,1.6382,1.5793,3.392,2.9529,3.0862,1.7393,1.0968,2.6684,1.1934,2.3185,0.98141,3.2787,1.4248,1.5107,3.7652,3.3613,1.9596,2.9487,1.7515
1.193,2.4964,2.9349,2.0031,2.7929,2.7738,3.6956,3.0216,3.2707,2.3136,3.6059,4.8663,1.0162,2.7865,1.4448,2.6608,2.2585,3.0447,2.9943,1.8754,3.1275,1.9482,2.3825,1.5745,1.4075,1.7317,2.0432,1.743,2.063,3.2736
1.9936,2.3737,NA,2.04,1.6263,2.6782,1.7896,1.7368,2.8436,1.7939,1.9167,2.4201,2.0125,2.0579,2.3296,2.1827,2.1058,NA,2.482,1.5237,1.8024,2.1165,2.5072,2.2719,1.8967,1.9993,1.6262,2.3263,2.2744,2.2016
1.1507,2.5694,2.5456,1.9614,1.8461,1.5726,1.4837,0.36161,1.8187,2.0699,2.4304,1.5409,1.3186,1.9471,1.5103,3.357,1.8915,1.1513,0.93798,1.4238,1.3335,1.4992,1.8677,1.7,2.3467,1.152,1.7088,1.6875,1.8428,1.6339
2.098,2.1446,2.6419,2.1236,1.5227,1.2782,1.2929,1.6399,1.3763,1.9498,1.0752,1.7487,1.0275,1.2294,3.2704,1.0812,1.054,1.7499,1.511,1.1909,1.2636,2.7756,2.4241,2.0693,2.0855,1.8256,2.5794,1.0928,1.3463,1.9167
1.2924,1.8408,2.4163,2.731,1.8201,1.3475,1.9207,3.53,1.9932,1.2683,1.4008,1.1442,1.4279,1.3968,1.2522,1.799,3.2488,2.5624,1.6565,1.66,1.8747,2.2721,1.0942,1.1056,3.6558,1.3233,1.0009,0.96201,2.7893,1.8503
